Chidamber-Kemerer metrics,joi, 12 ian. 2023 10:14:32 EET
Class,CBO,DIT,LCOM,NOC,RFC,WMC
sn.socialnetwork.Main,1,1,1,0,2,1
sn.socialnetwork.controller.Globals,3,1,1,0,2,1
sn.socialnetwork.controller.LoginViewController,5,2,1,0,18,4
sn.socialnetwork.controller.SocialNetworkController,5,1,3,2,25,6
sn.socialnetwork.controller.UserViewController,11,2,1,0,109,40
sn.socialnetwork.domain.Entity,23,1,2,3,5,5
sn.socialnetwork.domain.Friendship,9,2,4,0,21,16
sn.socialnetwork.domain.Message,6,2,4,0,16,15
sn.socialnetwork.domain.User,12,2,4,0,15,14
sn.socialnetwork.domain.validators.EmailValidator,3,1,1,0,3,3
sn.socialnetwork.domain.validators.FriendshipValidator,6,1,1,0,6,5
sn.socialnetwork.domain.validators.IValidator,n/a,n/a,n/a,n/a,1,n/a
sn.socialnetwork.domain.validators.MessageValidator,6,1,1,0,8,6
sn.socialnetwork.domain.validators.NameValidator,4,1,1,0,7,9
sn.socialnetwork.domain.validators.UserValidator,6,1,1,0,8,4
sn.socialnetwork.domain.validators.ValidationException,7,4,0,0,9,5
sn.socialnetwork.factory.ReportFactory,8,1,2,0,7,7
sn.socialnetwork.repo.AbstractDatabaseRepo,6,1,1,2,28,12
sn.socialnetwork.repo.DatabaseRepo,6,1,1,0,63,36
sn.socialnetwork.repo.EntityAlreadyExistsException,10,2,0,0,0,0
sn.socialnetwork.repo.FileRepo,8,2,1,3,37,16
sn.socialnetwork.repo.FriendshipDatabaseRepo,5,2,6,0,29,8
sn.socialnetwork.repo.FriendshipFileRepo,5,3,1,0,15,3
sn.socialnetwork.repo.IRepo,n/a,n/a,n/a,n/a,5,n/a
sn.socialnetwork.repo.IdNullException,0,2,0,0,0,0
sn.socialnetwork.repo.InMemoryRepo,5,1,1,1,14,11
sn.socialnetwork.repo.MessageFileRepo,5,3,1,0,16,3
sn.socialnetwork.repo.UserDatabaseRepo,5,2,6,0,26,8
sn.socialnetwork.repo.UserFileRepo,4,3,2,0,18,3
sn.socialnetwork.reports.AbstractReport,9,1,0,2,2,2
sn.socialnetwork.reports.CombinedReport,3,2,1,0,10,3
sn.socialnetwork.reports.Report,7,2,1,3,5,4
sn.socialnetwork.reports.ReportType,8,n/a,2,n/a,2,0
sn.socialnetwork.reports.actions.AddReport,4,3,0,0,5,2
sn.socialnetwork.reports.actions.RemoveReport,4,3,0,0,5,2
sn.socialnetwork.reports.actions.UpdateReport,4,3,0,0,5,2
sn.socialnetwork.service.Auth,3,1,1,0,12,3
sn.socialnetwork.service.Community,3,1,1,0,42,21
sn.socialnetwork.service.EntityIdNotFoundException,5,2,0,0,0,0
sn.socialnetwork.service.FriendshipService,6,2,2,0,10,4
sn.socialnetwork.service.IService,n/a,n/a,n/a,n/a,7,n/a
sn.socialnetwork.service.MessageService,4,2,1,0,5,2
sn.socialnetwork.service.Network,23,1,3,0,57,23
sn.socialnetwork.service.Path,1,1,1,0,19,20
sn.socialnetwork.service.Service,11,1,1,3,17,10
sn.socialnetwork.service.UserService,10,2,2,0,14,5
sn.socialnetwork.ui.SocialNetworkApplication,4,2,2,0,15,3
sn.socialnetwork.utils.Constants,4,1,0,0,1,0
sn.socialnetwork.utils.find_strategies.UserFindStrategy,1,1,1,0,1,0

